# Cluster	RA	Dec	z_spec	z_phot	zSource	Instrument/Telescope	Exposure Time
SPT-CL-J0000-5748	00:01:00.04	-57:48:20.7	0.702	...	(20)	NTT/SofI	2700.0
MACS-J0011.7-1523	00:11:42.80	-15:23:18.34	0.379	...	(18)	WHT/LIRIS	2700.0
MACS-J0014.3-3022	00:14:15.82	-30:22:14.4	0.308	...	(1)	SofI/NTT	12000
MACS-J0014.3-3022	00:14:17.26	-30:22:34.8	0.308	...	(1)	SofI/NTT	12000
ACT-CL-J0014.9-0057	00:14:54.00	+00:57:10.1	0.533	...	(7)	NTT/SofI	2700.0
C1G-J001640.6-130644	00:16:40.71	-13:06:43.7	...	0.700	(21)	WHIRC/WIYN	32400
ACT-CL-J0017.6-0051	00:17:37.60	+00:52:42.0	0.211	...	(7)	NTT/SofI	2700.0
ACT-CL-J0018.2-0022	00:18:18.40	+00:22:45.8	...	0.75	(3)	NTT/SofI	2700.0
MACS-J0025.4-1222	00:25:27.42	-12:22:22.76	0.5843	...	(1)	SofI/NTT	2400
MACS-J0025.4-1222	00:25:30.06	-12:22:43.30	0.585	...	(1)	WHT/LIRIS	2700.0
MACS-J0025.4-1222	00:25:30.06	-12:22:43.30	0.585	...	(1)	WHT/LIRIS	2700.0
MACS-J0025.4-1222	00:25:33.01	-12:23:16.26	0.5843	...	(1)	SofI/NTT	2400
MACS-J0032.1+1808	00:32:10.22	+18:07:40.61	...	0.398	(22)	WHT/LIRIS	2700.0
MACS-J0033.8-0751	00:33:51.35	-07:51:19.77	...	0.30	(22)	WHT/LIRIS	2700.0
MACS-J0034.4+0225	00:34:26.22	+02:25:29.83	...	0.35	(22)	WHT/LIRIS	2700.0
MACS-J0034.9+0234	00:34:57.66	+02:33:32.85	...	...	...	WHT/LIRIS	2700.0
MACS-J0035.4-2015	00:35:26.25	-20:15:45.38	0.352	...	(1)	WHT/LIRIS	2700.0
Abell68	00:37:06.87	+09:09:25.50	0.255	...	(12)	SofI/NTT	2700
SMACS-J0040.8-4407	00:40:49.97	-44:07:50.2	...	0.40	(14)	SofI/NTT	2700
C1G-J005805.6+003058	00:58:05.71	+00:30:58.2	0.662	...	(21)	WHIRC/WIYN	32400
ACT-CL-J0104.8+0002	01:04:55.30	+00:03:36.2	0.277	...	(7)	NTT/SofI	2610.0
MACS-J0110.1+3211	01:10:06.97	+32:10:48.05	...	...	...	WHT/LIRIS	2700.0
ACT-CL-J0119.9+0055	01:19:57.43	+00:55:30.1	...	0.72	(3)	NTT/SofI	2700.0
ACT-CL-J0127.2+0020	01:27:16.60	+00:20:40.9	0.379	...	(7)	NTT/SofI	2700.0
C1G-J013710.4-103423	01:37:10.55	-10:34:22.1	...	0.575	(21)	WHIRC/WIYN	32400
RX-J0142.0-2131	01:42:03.42	+21:31:17.0	...	0.28	(7)	WHIRC/WIYN	32400
ACT-CL-J0145-5301	01:45:03.60	-53:01:23.4	0.118	...	(15)	NTT/SofI	2700.0
MACS-J0150.3-1005	01:50:21.25	-10:05:32.16	0.365	...	(12)	WHT/LIRIS	2640.0
MACS-J0150.3-1005	01:50:21.27	-10:05:30.19	0.365	...	(12)	SofI/NTT	2700
ACT-CL-J0152.7+0100	01:52:41.90	+01:00:25.5	0.230	...	(7)	NTT/SofI	2700.0
ACT-CL-J0156.4-0123	01:56:23.21	-01:23:21.3	...	0.45	(3)	NTT/SofI	2700.0
ACT-CL-J0206.2-0114	02:06:12.80	-01:14:20.8	0.676	...	(7)	NTT/SofI	2700.0
ACT-CL-J0215-5212	02:15:12.33	-52:12:25.4	0.480	...	(17)	SofI/NTT	2700
ACT-CL-J0223.1-0056	02:15:28.50	+00:30:37.3	0.663	...	(7)	NTT/SofI	2700.0
ACT-CL-J0218.2-0041	02:18:16.80	+00:41:41.8	0.672	...	(3)	NTT/SofI	2700.0
ACT-CL-J0219.8+0022	02:19:50.42	+00:22:14.7	0.537	...	(3)	WHIRC/WIYN	32400
